,"Índice de producción industrial, INE (base 2009=100)","Índice de producción industrial, INE (base 2014=100)",Índice de producción industrial SOFOFA (base 2000=100),Índice de producción industrial SOFOFA (base 2000=100),Índice de producción industrial SOFOFA (base 2000=100),Índice de producción industrial SOFOFA (base 2000=100),"Índice producción industrial, SOFOFA (2003=100)","Índice producción industrial, SOFOFA (2014=100)",Índice de ventas industriales SOFOFA (base 2014=100),Índice de ventas industriales SOFOFA (base 2003=100),Índice de ventas industriales SOFOFA (base 2000=100),MA
2013-01-05,111.06546183834666,97.847187357893,,,,,117.46445448396662,102.648681640625,99.20753479003906,112.69959481151689,,97.48254388746534
2013-01-06,109.7232464117933,96.6647135074014,,,,,111.3793550968906,99.27577209472656,98.90138244628906,113.25479550054727,,97.66880337283051
2013-01-07,113.6234591556792,100.100748803793,,,,,115.5555762706243,102.47499084472656,100.53389739990234,112.0624776754482,,98.41038864619024
2013-01-08,114.62399239547852,100.982205214743,,,,,117.78628351525866,105.40352630615234,101.10384368896484,114.9156650412744,,98.64057001480838
2013-01-09,108.26284699342693,95.3781211397918,,,,,102.31071886043743,92.2608413696289,92.97187042236328,106.34822471728526,,98.8802159905813
2013-01-10,118.1114639741763,104.054621061379,,,,,117.98453230072715,104.1838150024414,104.91744232177734,117.82699980759894,,99.09983892878972
2013-01-11,118.18095222199398,104.115839278914,,,,,116.14615237767464,104.30091094970703,100.06352233886719,111.15920637022663,,99.42499805616414
2013-01-12,119.18931274744952,105.004191423905,,,,,116.60712329286227,102.07310485839844,103.27628326416016,120.83213436791816,,99.67102631066088
2014-01-01,111.81325173104902,98.513219000079,,,,,113.62499314540457,100.59732055664062,90.97364807128906,107.26891744979756,,99.55832287633446
2014-01-02,107.25397983737192,93.93892849,,,,,106.92172598619617,93.36811065673828,99.69774627685547,109.1110915493055,,99.68084982211434
2014-01-03,118.12812777962185,103.09560770091,,,,,125.12015274613792,102.22894287109375,105.00714874267578,119.87752075631398,,99.7086750738465
2014-01-04,111.86613130660392,100.04350578053,,,,,119.55075819773043,98.43911743164062,100.56273651123047,114.15782923737886,,99.97824072994496
2014-01-05,114.84096361499883,102.587630029,,,,,117.76029409232076,101.6944580078125,98.15829467773438,112.14610457839791,,100.37327761920386
2014-01-06,112.2412424924335,99.2445827019,,,,,110.74313614463563,97.53732299804688,94.98477935791016,108.36565495455793,,100.58826671874543
2014-01-07,111.12139652958837,98.714020654412,,,,,113.72132303515058,101.197998046875,98.88227081298828,108.8428794024966,,100.47270603963034
2014-01-08,112.85748334335192,97.850191469407,,,,,111.49720082476246,98.88127136230469,98.87858581542969,111.50348412931737,,100.21170489418567
2014-01-09,109.06723515912843,95.971142265732,,,,,105.44434743177739,96.63069915771484,96.04080200195312,109.09508865694603,,100.26112332134734
2014-01-10,117.73818780488229,104.06901746809,,,,,118.94787804680767,104.62640380859375,105.14691162109375,115.56510332374138,,100.26232302190658
2014-01-11,114.29675973820225,100.30597934933,,,,,116.86838223512561,102.29798126220703,101.44659423828125,114.37647361047746,,99.94483469444124
2014-01-12,120.884441804408,105.66617509057,,,,,117.93647307298116,102.50035858154297,110.12133026123047,122.61807603789552,,99.99999999999666
2015-01-01,118.75783432896887,101.38248772903,,,,,112.10775837708417,98.0890121459961,95.46050262451172,111.26704942163502,,100.23910572740924
2015-01-02,106.855649453667,94.166833633597,,,,,106.9888051382939,91.21012115478516,93.08960723876953,105.34576220048629,,100.25809782270898
2015-01-03,114.70221904899844,103.53385154281,,,,,123.17905385214601,101.96465301513672,102.18040466308594,116.56612862546164,,100.29461814286731
2015-01-04,111.90822298503855,99.963348423143,,,,,120.81987002664411,102.7923812866211,100.11478424072266,112.57908807251249,,100.28793836308506
2015-01-05,114.41719749165304,101.4722464071,,,,,111.99707035789392,95.160888671875,99.07441711425781,108.10973136082426,,100.19498972792674
2015-01-06,114.42156920069804,101.44723010537,,,,,111.86010310249198,98.50760650634766,98.68861389160156,109.03978349897426,,100.3785436782159
2015-01-07,109.94687605954738,99.160797838454,,,,,118.6598836298792,104.16338348388672,99.12444305419922,109.86642987767526,,100.4157751102194
2015-01-08,107.30482331253054,95.153568644572,,,,,115.00313875942429,99.84779357910156,99.74695587158203,114.1216193866772,,100.19105654148315
2015-01-09,110.35560393222997,99.069003210652,,,,,110.36378999871516,98.3503189086914,101.28246307373047,113.4176341847183,,100.44921162022649
